package	slot	class	label	count	reccomended
soil	env_medium	ENVO:00002237	chernozem	0.0	True
soil	env_medium	ENVO:00002238	durisol	0.0	True
soil	env_medium	ENVO:00002239	calcisol	0.0	True
soil	env_medium	ENVO:00002240	kastanozem	0.0	True
soil	env_medium	ENVO:00002241	leptosol	0.0	True
soil	env_medium	ENVO:00002242	lixisol	0.0	True
soil	env_medium	ENVO:00002244	gleysol	0.0	True
soil	env_medium	ENVO:00002245	gypsisol	0.0	True
soil	env_medium	ENVO:00002247	nitisol	0.0	True
soil	env_medium	ENVO:00002248	luvisol	0.0	True
soil	env_medium	ENVO:00002249	phaeozem	0.0	True
soil	env_medium	ENVO:00002250	plinthosol	0.0	True
soil	env_medium	ENVO:00002251	planosol	0.0	True
soil	env_medium	ENVO:00002252	solonchak	0.0	True
soil	env_medium	ENVO:00002253	umbrisol	0.0	True
soil	env_medium	ENVO:00002254	vertisol	0.0	True
soil	env_medium	ENVO:00002255	solonetz	0.0	True
soil	env_medium	ENVO:00002256	regosol	0.0	True
soil	env_medium	ENVO:00002257	podzol	0.0	True
soil	env_medium	ENVO:00002260	dune soil	0.0	True
soil	env_medium	ENVO:00002273	fluvisol	0.0	True
soil	env_medium	ENVO:00002274	stagnosol	0.0	True
soil	env_medium	ENVO:00002275	technosol	0.0	True
soil	env_medium	ENVO:00002871	alluvial soil	0.0	True
soil	env_medium	ENVO:00003083	sarcosine enriched soil	0.0	True
soil	env_medium	ENVO:00003084	trimethylamine enriched soil	0.0	True
soil	env_medium	ENVO:00003085	skatole enriched soil	0.0	True
soil	env_medium	ENVO:00003088	pantothenate enriched soil	0.0	True
soil	env_medium	ENVO:00003091	threonine enriched soil	0.0	True
soil	env_medium	ENVO:00003093	poly-beta-hydroxybutyrate enriched soil	0.0	True
soil	env_medium	ENVO:00003095	quinate enriched soil	0.0	True
soil	env_medium	ENVO:00005746	savanna soil	0.0	True
soil	env_medium	ENVO:00005747	compost soil	0.0	True
soil	env_medium	ENVO:00005751	jungle soil	0.0	True
soil	env_medium	ENVO:00005753	urea enriched soil	0.0	True
soil	env_medium	ENVO:00005758	alluvial swamp soil	0.0	True
soil	env_medium	ENVO:00005760	burned soil	0.0	True
soil	env_medium	ENVO:00005761	meadow soil	0.0	True
soil	env_medium	ENVO:00005763	humus-rich acidic ash soil	0.0	True
soil	env_medium	ENVO:00005764	pond soil	0.0	True
soil	env_medium	ENVO:00005765	frozen compost soil	0.0	True
soil	env_medium	ENVO:00005766	limed soil	0.0	True
soil	env_medium	ENVO:00005767	manured soil	0.0	True
soil	env_medium	ENVO:00005770	beech forest soil	0.0	True
soil	env_medium	ENVO:00005771	muddy soil	0.0	True
soil	env_medium	ENVO:00005772	orchard soil	0.0	True
soil	env_medium	ENVO:00005773	pasture soil	0.0	True
soil	env_medium	ENVO:00005776	peaty paddy field soil	0.0	True
soil	env_medium	ENVO:00005777	steppe soil	0.0	True
soil	env_medium	ENVO:00005778	tropical soil	0.0	True
soil	env_medium	ENVO:00005782	ornithogenic soil	0.0	True
soil	env_medium	ENVO:00005787	eucalyptus forest soil	0.0	True
soil	env_medium	ENVO:00005788	rubber plantation soil	0.0	True
soil	env_medium	ENVO:00005789	bluegrass field soil	0.0	True
hcr-cores	env_local_scale	ENVO:01000003	oil well	0.0	True
hcr-fluids-swabs	env_local_scale	ENVO:01000003	oil well	0.0	True
water	env_broad_scale	ENVO:01000025	marine neritic benthic zone biome	0.0	True
water	env_broad_scale	ENVO:01000026	marine bathyal zone biome	0.0	True
