accession	harmonized_name	count
SAMN00024395	molecular_data_type	2
SAMN00024396	molecular_data_type	2
SAMN00024397	molecular_data_type	2
SAMN00024398	molecular_data_type	2
SAMN00024399	molecular_data_type	2
SAMN00024400	molecular_data_type	2
SAMN00024401	molecular_data_type	2
SAMN00024402	molecular_data_type	2
SAMN00024403	molecular_data_type	2
SAMN00024404	molecular_data_type	2
SAMN00024406	molecular_data_type	2
SAMN00024407	molecular_data_type	2
SAMN00024408	molecular_data_type	2
SAMN00024409	molecular_data_type	2
SAMN00024410	molecular_data_type	2
SAMN00024411	molecular_data_type	2
SAMN00024412	molecular_data_type	2
SAMN00024413	molecular_data_type	2
SAMN00024414	molecular_data_type	2
SAMN00024416	molecular_data_type	2
SAMN00024417	molecular_data_type	2
SAMN00024418	molecular_data_type	2
SAMN00024419	molecular_data_type	2
SAMN00024420	molecular_data_type	2
SAMN00024421	molecular_data_type	2
SAMN00024423	molecular_data_type	2
SAMN00024424	molecular_data_type	2
SAMN00024425	molecular_data_type	2
SAMN00024428	molecular_data_type	2
SAMN00024429	molecular_data_type	2
SAMN00024431	molecular_data_type	2
SAMN00024433	molecular_data_type	2
SAMN00024434	molecular_data_type	2
SAMN00024435	molecular_data_type	2
SAMN00024436	molecular_data_type	2
SAMN00024438	molecular_data_type	2
SAMN00024439	molecular_data_type	2
SAMN00024440	molecular_data_type	2
SAMN00024441	molecular_data_type	2
SAMN00024444	molecular_data_type	2
SAMN00024445	molecular_data_type	2
SAMN00024446	molecular_data_type	2
SAMN00024447	molecular_data_type	2
SAMN00024448	molecular_data_type	2
SAMN00024449	molecular_data_type	2
SAMN00024450	molecular_data_type	2
SAMN00024451	molecular_data_type	2
SAMN00024452	molecular_data_type	2
SAMN00024453	molecular_data_type	2
SAMN00024454	molecular_data_type	2
SAMN00024455	molecular_data_type	2
SAMN00027875	molecular_data_type	2
SAMN00030364	molecular_data_type	2
SAMN00030365	molecular_data_type	2
SAMN00030366	molecular_data_type	2
SAMN00030367	molecular_data_type	2
SAMN00030368	molecular_data_type	2
SAMN00030369	molecular_data_type	2
SAMN00030370	molecular_data_type	2
SAMN00030371	molecular_data_type	2
SAMN00030372	molecular_data_type	2
SAMN00030373	molecular_data_type	2
SAMN00030374	molecular_data_type	2
SAMN00030375	molecular_data_type	2
SAMN00030376	molecular_data_type	2
SAMN00030377	molecular_data_type	2
SAMN00030378	molecular_data_type	2
SAMN00030379	molecular_data_type	2
SAMN00030380	molecular_data_type	2
SAMN00030381	molecular_data_type	2
SAMN00030382	molecular_data_type	2
SAMN00030383	molecular_data_type	2
SAMN00030384	molecular_data_type	2
SAMN00030385	molecular_data_type	2
SAMN00030386	molecular_data_type	2
SAMN00030387	molecular_data_type	2
SAMN00030388	molecular_data_type	2
SAMN00030389	molecular_data_type	2
SAMN00030390	molecular_data_type	2
SAMN00030391	molecular_data_type	2
SAMN00030392	molecular_data_type	2
SAMN00030393	molecular_data_type	2
SAMN00030394	molecular_data_type	2
SAMN00030395	molecular_data_type	2
SAMN00030396	molecular_data_type	2
SAMN00030397	molecular_data_type	2
SAMN00030398	molecular_data_type	2
SAMN00030399	molecular_data_type	2
SAMN00030400	molecular_data_type	2
SAMN00030401	molecular_data_type	2
SAMN00030402	molecular_data_type	2
SAMN00030403	molecular_data_type	2
SAMN00030404	molecular_data_type	2
SAMN00030405	molecular_data_type	2
SAMN00030406	molecular_data_type	2
SAMN00030407	molecular_data_type	2
SAMN00030408	molecular_data_type	2
SAMN00030409	molecular_data_type	2
SAMN00030410	molecular_data_type	2
SAMN00030412	molecular_data_type	2
SAMN00030413	molecular_data_type	2
SAMN00030414	molecular_data_type	2
SAMN00030415	molecular_data_type	2
SAMN00030416	molecular_data_type	2
SAMN00030417	molecular_data_type	2
SAMN00030418	molecular_data_type	2
SAMN00030419	molecular_data_type	2
SAMN00030420	molecular_data_type	2
SAMN00030421	molecular_data_type	2
SAMN00030422	molecular_data_type	2
SAMN00030423	molecular_data_type	2
SAMN00030424	molecular_data_type	2
SAMN00030425	molecular_data_type	2
SAMN00030426	molecular_data_type	2
SAMN00030428	molecular_data_type	2
SAMN00030430	molecular_data_type	2
SAMN00030431	molecular_data_type	2
SAMN00030432	molecular_data_type	2
SAMN00030433	molecular_data_type	2
SAMN00030434	molecular_data_type	2
SAMN00030435	molecular_data_type	2
SAMN00030436	molecular_data_type	2
SAMN00030437	molecular_data_type	2
SAMN00030438	molecular_data_type	2
SAMN00030439	molecular_data_type	2
SAMN00030441	molecular_data_type	2
SAMN00030442	molecular_data_type	2
SAMN00030443	molecular_data_type	2
SAMN00030444	molecular_data_type	2
SAMN00030445	molecular_data_type	2
SAMN00030446	molecular_data_type	2
SAMN00030447	molecular_data_type	2
SAMN00030448	molecular_data_type	2
SAMN00030449	molecular_data_type	2
SAMN00030450	molecular_data_type	2
SAMN00030451	molecular_data_type	2
SAMN00030452	molecular_data_type	2
SAMN00030453	molecular_data_type	2
SAMN00030455	molecular_data_type	2
SAMN00030456	molecular_data_type	2
SAMN00030457	molecular_data_type	2
SAMN00030459	molecular_data_type	2
SAMN00030460	molecular_data_type	2
SAMN00030461	molecular_data_type	2
SAMN00030462	molecular_data_type	2
SAMN00030463	molecular_data_type	2
SAMN00030464	molecular_data_type	2
SAMN00030465	molecular_data_type	2
SAMN00030466	molecular_data_type	2
SAMN00030467	molecular_data_type	2
SAMN00030468	molecular_data_type	2
SAMN00030469	molecular_data_type	2
SAMN00030470	molecular_data_type	2
SAMN00030471	molecular_data_type	2
SAMN00030472	molecular_data_type	2
SAMN00030473	molecular_data_type	2
SAMN00030475	molecular_data_type	2
SAMN00030476	molecular_data_type	2
SAMN00030477	molecular_data_type	2
SAMN00030478	molecular_data_type	2
SAMN00030479	molecular_data_type	2
