env_package	env_broad_scale	env_broad_scale_label	env_local_scale	env_local_scale_label	env_medium	env_medium_label	count(1)
soil	ENVO:00005740	paddy field soil	ENVO:00000296	rice field	ENVO:00001998	soil	11
plant-associated			FAO:0000026	urediniospore	FAO:0000026	urediniospore	10
plant-associated	ENVO:00000116	vineyard					10
plant-associated	ENVO:01000220	tropical woodland biome			CHEBI:15377	water	10
plant-associated	ENVO:01000249	urban biome			ENVO:01000155	organic material	10
sediment	ENVO:00000873	freshwater biome	ENVO:00000023	stream	ENVO:00002034	biofilm	10
sediment	ENVO:00000887	large river biome			ENVO:03000033	marine sediment	10
sediment	ENVO:00002046	activated sludge			ENVO:00002046	activated sludge	10
soil			ENVO:00005740	paddy field soil			10
soil			ENVO:00005778	tropical soil	ENVO:00002246	ferralsol	10
soil	ENVO:00001998	soil	ENVO:00002259	agricultural soil	ENVO:00001998	soil	10
soil	ENVO:01001805	temperate forest					10
soil	ENVO:01001805	temperate forest	ENVO:01001209	wetland ecosystem	ENVO:00002007	sediment	10
plant-associated	ENVO:01000245	cropland biome			ENVO:00001998	soil	9
plant-associated	ENVO:01000245	cropland biome			ENVO:00005801	rhizosphere	9
plant-associated	ENVO:01000245	cropland biome	ENVO:00005802	bulk soil	ENVO:00001998	soil	9
sediment					ENVO:03000033	marine sediment	9
sediment	ENVO:00002007	sediment			ENVO:00001998	soil	9
soil					ENVO:01000018	gravel	9
soil					ENVO:01001526	frozen soil	9
soil	ENVO:00000446	terrestrial biome			ENVO:00001998	soil	9
soil	ENVO:00001998	soil	ENVO:01001209	wetland ecosystem	ENVO:00001998	soil	9
soil	ENVO:01000186	polar desert biome			ENVO:00001998	soil	9
soil	ENVO:01000228	tropical moist broadleaf forest biome	ENVO:00000120	oil palm plantation	ENVO:00001998	soil	9
soil	ENVO:01001206	grassland ecosystem					9
soil	NCBITaxon:2	Bacteria			ENVO:00005802	bulk soil	9
plant-associated			ENVO:01000352	field	PO:0025034	leaf	8
plant-associated	ENVO:01001811	temperate grassland					8
sediment					ENVO:01000236	basalt	8
sediment	ENVO:00000054	saline marsh					8
sediment	ENVO:00000881	obsolete Tropical and subtropical grasslands, savannas, and shrubland biome	ENVO:00002022	obsolete alkaline habitat	ENVO:00005750	grassland soil	8
sediment	ENVO:00000892	small lake biome			ENVO:00002209	saline lake sediment	8
sediment	ENVO:01000027	marine abyssal zone biome	ENVO:00000426	ocean floor			8
sediment	ENVO:03000033	marine sediment	ENVO:01000206	temperate	ENVO:03000033	marine sediment	8
soil			ENVO:01001209	wetland ecosystem	ENVO:00002007	sediment	8
soil	ENVO:00001998	soil	ENVO:00001998	soil	ENVO:00001998	soil	8
soil	ENVO:00001998	soil	NCBITaxon:256318	metagenome			8
