CUI-less	N/A	OBO:FOODON_00001098	fermented apple	fermented apple beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001098	fermented apple beverage	fermented apple beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001099	apple beverage	apple beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03310226	hominy	hominy	biolink:OntologyClass
CUI-less	N/A	ENVO:01000600	rainwater	rainwater	biolink:OntologyClass
CUI-less	N/A	ENVO:01000601	motor vehicle	motor vehicle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000602	lorry	truck	biolink:OntologyClass
CUI-less	N/A	ENVO:01000602	truck	truck	biolink:OntologyClass
CUI-less	N/A	ENVO:01000603	water truck	water truck	biolink:OntologyClass
CUI-less	N/A	ENVO:01000608	boat	boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000609	motorised boat	motor boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000609	motorized boat	motor boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000609	motor boat	motor boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000604	vehicle	vehicle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000605	car	car	biolink:OntologyClass
CUI-less	N/A	ENVO:01000606	cart	cart	biolink:OntologyClass
CUI-less	N/A	ENVO:01000607	animal-drawn cart	animal-drawn cart	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03400257	fruit or vegetable product (us cfr)	fruit or vegetable product (us cfr)	biolink:OntologyClass
CUI-less	N/A	CHEBI:26561	ribonucleotide	ribonucleotide	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:26562	ribose phosphate	ribose phosphate	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:49202	elemental platinum	elemental platinum	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:80043	Nodularin	Nodularin	biolink:ChemicalSubstance
CUI-less	N/A	NCBITaxon:1804623	Chenopodiaceae	Chenopodiaceae	biolink:OrganismalEntity
CUI-less	N/A	CHEBI:25248	methyl ester	methyl ester	biolink:ChemicalSubstance
CUI-less	N/A	ENVO:01000556	biogas	biogas	biolink:OntologyClass
CUI-less	N/A	ENVO:00003059	obsolete New Zealand Cheddar	obsolete New Zealand Cheddar	biolink:OntologyClass
CUI-less	N/A	ENVO:01000557	LNG	liquefied natural gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000557	liquified natural gas	liquefied natural gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000557	liquefied natural gas	liquefied natural gas	biolink:OntologyClass
CUI-less	N/A	ENVO:00003058	Harzerkaese	obsolete Harzer	biolink:OntologyClass
CUI-less	N/A	ENVO:00003058	obsolete Harzer	obsolete Harzer	biolink:OntologyClass
CUI-less	N/A	ENVO:01000558	liquefied hydrocarbon gas	liquefied hydrocarbon gas	biolink:OntologyClass
CUI-less	N/A	ENVO:00003057	obsolete Emmenthal	obsolete Emmenthal	biolink:OntologyClass
CUI-less	N/A	ENVO:01000559	compressed biogas	compressed biogas	biolink:OntologyClass
CUI-less	N/A	ENVO:00003056	obsolete Swiss cheese	obsolete Swiss cheese	biolink:OntologyClass
CUI-less	N/A	ENVO:01000552	natural gas	natural gas	biolink:OntologyClass
CUI-less	N/A	CHEBI:22985	calcium molecular entity	calcium molecular entity	biolink:ChemicalSubstance
CUI-less	N/A	ENVO:01000553	LPG	liquefied petroleum gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000553	liquid petroleum gas	liquefied petroleum gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000553	LP gas	liquefied petroleum gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000553	liquified natural gas	liquefied petroleum gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000553	liquefied petroleum gas	liquefied petroleum gas	biolink:OntologyClass
CUI-less	N/A	ENVO:00003055	obsolete Gorgonzola	obsolete Gorgonzola	biolink:OntologyClass
CUI-less	N/A	ENVO:00003054	obsolete halloumi	obsolete halloumi	biolink:OntologyClass
CUI-less	N/A	ENVO:01000554	hydrocarbon gas	hydrocarbon gas	biolink:OntologyClass
CUI-less	N/A	ENVO:01000555	compressed natural gas	compressed natural gas	biolink:OntologyClass
CUI-less	N/A	ENVO:00003053	obsolete Gouda	obsolete Gouda	biolink:OntologyClass
CUI-less	N/A	CHEBI:22984	calcium atom	calcium atom	biolink:ChemicalSubstance
CUI-less	N/A	ENVO:00003052	obsolete Brie	obsolete Brie	biolink:OntologyClass
CUI-less	N/A	CHEBI:33635	polycyclic compound	polycyclic compound	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:33636	bicyclic compound	bicyclic compound	biolink:ChemicalSubstance
CUI-less	N/A	ENVO:00003051	obsolete Cheddar cheese	obsolete Cheddar cheese	biolink:OntologyClass
CUI-less	N/A	ENVO:00003050	obsolete cane sugar	obsolete cane sugar	biolink:OntologyClass
CUI-less	N/A	CHEBI:33637	ortho-fused compound	ortho-fused compound	biolink:ChemicalSubstance
CUI-less	N/A	OBO:FOODON_00001111	equine dairy food product	equine dairy food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001114	zebra dairy food product	zebra dairy food product	biolink:OntologyClass
CUI-less	N/A	CHEBI:21656	N-acyl-hexosamine	N-acyl-hexosamine	biolink:ChemicalSubstance
CUI-less	N/A	ENVO:01000550	composting toilet	composting toilet	biolink:OntologyClass
CUI-less	N/A	ENVO:01000551	paraffin	paraffin oil	biolink:OntologyClass
CUI-less	N/A	ENVO:01000551	liquid paraffin	paraffin oil	biolink:OntologyClass
CUI-less	N/A	ENVO:01000551	paraffin oil	paraffin oil	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001118	cattle dairy food product	cattle dairy food product	biolink:OntologyClass
CUI-less	N/A	ENVO:01000545	ionosphere	ionosphere	biolink:OntologyClass
CUI-less	N/A	ENVO:01000545	ionosphere	ionosphere	biolink:OntologyClass
CUI-less	N/A	ENVO:01000546	exosphere	exosphere	biolink:OntologyClass
CUI-less	N/A	ENVO:01000547	glaze	glaze ice layer	biolink:OntologyClass
CUI-less	N/A	ENVO:01000547	glaze	glaze ice layer	biolink:OntologyClass
CUI-less	N/A	ENVO:01000547	glaze ice	glaze ice layer	biolink:OntologyClass
CUI-less	N/A	ENVO:01000547	glaze ice layer	glaze ice layer	biolink:OntologyClass
CUI-less	N/A	ENVO:00003069	sheep milk	obsolete ovine milk	biolink:OntologyClass
CUI-less	N/A	ENVO:00003069	obsolete ovine milk	obsolete ovine milk	biolink:OntologyClass
CUI-less	N/A	ENVO:01000548	eutrophic lake	eutrophic lake	biolink:OntologyClass
CUI-less	N/A	ENVO:00003068	obsolete bovine milk	obsolete bovine milk	biolink:OntologyClass
CUI-less	N/A	ENVO:01001873	hatchery	hatchery	biolink:OntologyClass
CUI-less	N/A	ENVO:01000541	thermosphere	thermosphere	biolink:OntologyClass
CUI-less	N/A	ENVO:00003067	obsolete beef	obsolete beef	biolink:OntologyClass
CUI-less	N/A	ENVO:01001872	manure pit	manure pit	biolink:OntologyClass
CUI-less	N/A	ENVO:01000542	ozone layer	ozone layer	biolink:OntologyClass
CUI-less	N/A	ENVO:01000542	ozone shield	ozone layer	biolink:OntologyClass
CUI-less	N/A	ENVO:01000542	ozone layer	ozone layer	biolink:OntologyClass
CUI-less	N/A	ENVO:00003066	obsolete chicken meat product	obsolete chicken meat product	biolink:OntologyClass
CUI-less	N/A	ENVO:00003065	distilled water	distilled water	biolink:OntologyClass
